PCA_Type,MT_e1,MT_f4,MT_a2,MT_b5,MT_a3,MT_b6,MT_ae2,MT_a8,MT_b10,MT_c8,MT_d10,MT_SDDD,MT_c7,MT_d9,MT_ae3,MT_ae7,MT_c2,MT_d5,MT_a1,MT_b4,MT_a7,MT_b9,MT_BpGL,MT_BatfGL,MT_BdGL
Non-draught cattle,0.678585618,0.641134152,0.797534669,0.765757291,0.92627058,0.85295145,0.271186441,0.914810887,0.831743869,0.909155179,0.852861035,1.251276441,1.019017433,1.03814262,0.31496063,0.348652932,0.792604006,0.785199122,1.028208184,1.033432078,1.025356577,1.012437811,0.211576763,0.204481328,0.228091286
Non-draught cattle,0.670216542,0.597350018,0.785141635,0.781482502,0.874665079,0.843294677,0.28059861,0.86386357,0.809591778,0.869450162,0.786183271,1.09306997,0.997301855,1.001090513,0.312593034,0.354131535,0.790219134,0.758886746,1.042953497,1.043798307,0.990893761,1.030897855,0.221788618,0.218373984,0.248902439
Non-draught cattle,0.684844193,0.674796748,0.806356838,0.794531897,0.911809121,0.828867761,0.289797009,0.902271369,0.8092827,0.870292887,0.796343179,1.046099291,0.99897084,1.016517056,0.32769556,0.372212693,0.777777778,0.781828224,1.069050992,1.063192905,1.03567753,1.033034111,0.257890295,0.235822785,0.265021097
Non-draught cattle,0.661490683,0.620125786,0.750639023,0.756575102,0.849293059,0.82610083,0.266685601,0.846301633,0.804536979,0.869996798,0.801118707,1.203313773,1.10537022,1.061342116,0.301735219,0.382017901,0.77165578,0.753360608,1.026009317,1.085534591,1.075264443,1.065870729,0.188023715,0.209960474,0.23
Non-draught cattle,0.605586964,0.578231293,0.756306892,0.761550717,0.852036332,0.823901178,0.282704811,0.842654303,0.795782464,0.861489423,0.81381798,1.04219162,0.999327731,1.080294659,0.318488134,0.365378151,0.773211964,0.778810409,0.967076821,1.026852846,0.977478992,1.056353591,,,
Non-draught cattle,0.731409545,0.663366337,0.785677353,0.761930734,0.925114155,0.827116637,0.274560496,0.915913201,0.813628422,0.908378541,0.825567851,1.215784216,1.130532633,1.121439873,0.323287671,0.398349587,0.779214064,0.773111535,1.124306326,1.106534653,1.139909977,1.105221519,0.21408,0.23476,0.25844
Non-draught cattle,0.635482669,0.631899351,0.752536038,0.72688478,0.888713745,0.797689666,0.297383876,0.877373171,0.781584582,0.875505758,0.820740288,1.135258894,1.028519196,1.068073248,0.351197982,0.407312614,0.75093433,0.763300142,1.050689527,1.036931818,1.03071298,1.017117834,0.202669323,0.22812749,0.237888446
Non-draught cattle,0.670951157,0.629863651,0.747091671,0.777487533,0.865732003,0.841428939,0.261284318,0.866432812,0.815848492,0.856718834,0.806379267,1.178193899,0.99033063,1.162356322,0.302777029,0.350280724,0.738715682,0.768463548,1.031812339,1.088792817,1.001559576,1.176005747,0.259453125,0.243242188,0.270078125
Non-draught cattle,0.650231125,0.567175872,0.747424116,0.72629548,0.865527249,0.798969072,0.277360067,0.863855809,0.770017534,0.864821371,0.760958504,1.153389238,1.003735525,1.076923077,0.321186714,0.372058274,0.748259538,0.717750827,1.033898305,1.032119076,1.002614867,1.08974359,,,
Non-draught cattle,0.681852986,0.599527931,0.745050829,0.736326531,0.862496129,0.828536436,0.26859283,0.83986731,0.787314518,0.847708082,0.77945883,1.168907273,1.020697168,1.052238806,0.310932177,0.364560639,0.752006421,0.728979592,1.066232772,1.064516129,1.011256354,1.062843676,0.23465812,0.229273504,0.252863248
Non-draught cattle,0.647526183,0.662701458,0.766367476,0.77433507,0.865533691,0.832792687,0.293030623,0.849575651,0.795717103,0.867134914,0.81487743,1.125739185,1.036376355,1.071507966,0.330948122,0.388247639,0.782206969,0.792980532,1.048392922,1.083653108,1.015389997,1.046313449,0.25920354,0.255265487,0.273097345
Non-draught cattle,0.633869788,0.616037008,0.730331126,0.752898951,0.830671889,0.81671159,0.271258278,0.825943679,0.787240185,0.857998802,0.793013857,1.188219364,0.989633725,1.066381988,0.308526665,0.353835522,0.758675497,0.758420762,1.008412582,1.051272167,0.952660677,1.058618012,0.232058824,0.225252101,0.247857143
Non-draught cattle,0.61351755,0.603056426,0.765415182,0.812606959,0.877198492,0.860205314,0.315154837,0.861239593,0.827716444,0.874498921,0.818419524,1.165061898,1.00176616,1.08722501,0.361180905,0.406216884,0.777199233,0.803479749,1.042942494,1.11637931,0.986577181,1.099575453,0.2260181,0.230678733,0.274886878
Non-draught cattle,0.574429555,0.643025078,0.796514896,0.789132883,0.898541535,0.850682853,0.350758853,0.873074553,0.806154731,0.85767098,0.812769629,1.227509552,0.983398093,1.090698572,0.395688015,0.440833628,0.782462057,0.795608108,1.026439696,1.098354232,1.001059696,1.08182169,0.231085973,0.241900452,0.271357466
Non-draught cattle,0.655612245,0.627252252,0.751590668,0.759472817,0.86750306,0.838944495,0.274655355,0.855719891,0.801274623,0.861454875,0.786790267,1.065896315,0.96386356,1.034666667,0.317013464,0.349881797,0.756627784,0.745744097,1.033163265,1.038288288,0.957446809,1.053714286,,,
Non-draught cattle,0.737055016,0.664576803,0.803016859,0.717091132,0.94665272,0.80061665,0.264123041,0.927570892,0.783702213,0.882473522,0.79342723,1.179289026,0.993843786,1.072529465,0.311366806,0.34359369,0.763975155,0.725989567,1.098300971,1.046574116,1.044632551,1.0593835,0.217877358,0.229386792,0.262641509
